                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.8684,                 1.6251,                 2.5417,                0.79399,                   0.78,                0.87569,                0.54607,                 1.4334,                 1.5625,                 2.4047,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.8055,                 1.6543,                 2.5939,                0.76679,                   0.72,                0.82048,                0.50116,                 1.4684,                 1.5908,                 2.4491,               0.000614,               0.000614,               0.000614
                     73,                 1.6623,                 1.7188,                 2.4189,                0.71263,                   0.74,                0.77747,                0.47376,                 1.4715,                 1.6922,                 2.4227,              0.0005942,              0.0005942,              0.0005942
                     74,                  2.006,                 1.8088,                 2.6578,                0.69513,                   0.74,                0.78912,                0.48792,                 1.4292,                 1.7017,                 2.3499,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7928,                 1.7995,                 2.6344,                0.71929,                   0.76,                0.77303,                0.47306,                 1.4117,                 1.6763,                 2.2978,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.9668,                  1.734,                 2.5588,                0.67348,                0.82511,                0.78193,                0.48084,                 1.4219,                 1.5987,                 2.2929,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.8642,                 1.6112,                 2.5332,                0.70206,                0.80118,                0.77302,                0.46335,                 1.4741,                 1.6031,                 2.3415,               0.000515,               0.000515,               0.000515
                     78,                 2.0011,                 1.5972,                 2.6799,                0.69445,                   0.88,                0.82054,                0.54088,                 1.4122,                 1.5807,                 2.2831,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7298,                 1.5064,                 2.4247,                0.80923,                0.76361,                0.82716,                0.56482,                 1.3643,                 1.5583,                  2.206,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9266,                 1.6758,                 2.4213,                0.79608,                0.78079,                0.85552,                0.57666,                  1.336,                 1.5738,                 2.1673,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.7974,                 1.6163,                 2.4676,                 0.7898,                    0.8,                0.86669,                0.57116,                 1.3539,                  1.621,                 2.1758,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8364,                 1.6017,                 2.3615,                0.77968,                 0.8494,                0.88212,                0.58868,                 1.3427,                 1.5417,                 2.1657,               0.000416,               0.000416,               0.000416
                     83,                 1.6896,                 1.5486,                 2.4654,                0.83856,                   0.86,                0.90107,                0.58667,                 1.3456,                 1.4353,                 2.1695,              0.0003962,              0.0003962,              0.0003962
